gene	s15v24hpf_mean_expression	s15v24hpf_log2_change	s24vMel_mean_expression	s24vMel_log2_change	s24vIri_mean_expression	s24vIri_log2_change	MelvIri_mean_expression	MelvIri_log2_change	genename	type	s15_Rep1	s15_Rep2	s24_Rep1	s24_Rep2	Mel_Rep1	Mel_Rep2	Iri_Rep1	Iri_Rep2	s15	s24	Mel	Iri	s15_Rep1_zscore	s15_Rep2_zscore	s24_Rep1_zscore	s24_Rep2_zscore	Mel_Rep1_zscore	Mel_Rep2_zscore	Iri_Rep1_zscore	Iri_Rep2_zscore
ENSDARG00000079233	0	0	694.297594377918	2.5825034334981	694.297594377918	3.89708813598849	0	0	E2F2	TF	17.569664	24.44912	4.108856	3.783285	0.198768	2.31241	0.679231	0.037712	21.009392	3.9460705	1.255589	0.3584715	0.0557359479586365	0.149522073473688	-0.0514989015980823	-0.0621031658107294	-0.0765364774248518	-0.0667674396047378	-0.0694279843756694	-0.0652723155214087
ENSDARG00000079248	0	0	633.153420937434	3.88332773630751	633.153420937434	5.0762968963297	0	0	mn1b	other	13.503719	12.462079	5.574595	4.89886	0.231197	0.632514	0.116523	0.263984	12.982899	5.2367275	0.4318555	0.1902535	0.0109075237221632	0.0108033209526861	-0.039852971295131	-0.0519083100902009	-0.0763276022289115	-0.0801933717748641	-0.0723328693001061	-0.0642312587522752
ENSDARG00000079252	0	0	0	0	0	0	422.016330030319	-3.34948570365355	fam117ab	other	4.617173	4.714147	0.763571	0.950557	0	1.455836	5.913177	8.915181	4.66566	0.857064	0.727918	7.414179	-0.0870696633979122	-0.0788587951323049	-0.0780786377949827	-0.0879904914100851	-0.077816742155391	-0.0736132826942468	-0.042408622947156	-0.0244278929007453
ENSDARG00000079274	0	0	5917.24610430791	-7.30322014171715	5917.24610430791	-9.51575195518465	0	0	prss59.1	other	1.307329	0.931061	0.350338	0.35876	83.585419	155.531693	1139.441895	130.723236	1.119195	0.354549	119.558556	635.0825655	-0.1235618173716	-0.122638154074989	-0.0813619527077192	-0.0933987203779641	0.460556959512077	1.15777961611383	5.80924176114954	0.535999823267119
ENSDARG00000079276	0	0	314.733978020826	2.98059872922706	314.733978020826	3.38336480160299	0	0	ube2ql1	other	5.744371	20.225618	11.411781	5.240928	0.390832	2.675303	0.844063	0.967015	12.9849945	8.3263545	1.5330675	0.905539	-0.0746419227023287	0.100646047379345	0.00652599612087104	-0.0487822684465555	-0.0752993931597474	-0.0638671548234098	-0.0685770670404533	-0.0609966774454379
ENSDARG00000079280	0	0	1628.96619417902	-5.89650882048515	1628.96619417902	-1.98816596073337	1628.96619417902	3.90834285975178	dhrsx	other	0.145161	0.114356	0.080754	0.071862	8.81449	4.363894	0.417085	0.3857	0.1297585	0.076308	6.589192	0.4013925	-0.136375114191418	-0.13208938551548	-0.0835039141857114	-0.0960205823921793	-0.0210426101789648	-0.0503717311608225	-0.0707812687849925	-0.0636712545727398
ENSDARG00000079283	293.668020414671	2.73160799389722	0	0	0	0	293.668020414671	2.48773049987754	si:ch211-247j9.1	other	5.751398	12.071546	0.857812	0.44872	0.732135	2.369123	0.360165	0.147511	8.911472	0.653266	1.550629	0.253838	-0.0745644476412766	0.00628391949420408	-0.0773298522897322	-0.0925766069202237	-0.0731010604637037	-0.0663141824440776	-0.0710751086626892	-0.0647671403685216
ENSDARG00000079286	1360.33468480559	-1.87745927885607	0	0	0	0	0	0	bcr	other	2.393719	2.809076	6.586038	6.344326	1.870831	5.784877	4.297481	9.369374	2.6013975	6.465182	3.827854	6.8334275	-0.111583998732572	-0.100905025939719	-0.0318166192001072	-0.0386986941352634	-0.0657667192840065	-0.0390150630260673	-0.0507493804143907	-0.0223381924643544
ENSDARG00000079302	811.681825358617	-4.67408338898799	811.681825358617	-3.28583888062548	0	0	811.681825358617	3.19412230298197	and2	other	0.0765	0.106094	3.950894	0.318588	25.020676	40.712112	5.043866	1.401222	0.091297	2.134741	32.866394	3.222544	-0.137132125030595	-0.132184996628626	-0.0527539780083537	-0.0937658384507114	0.0833414373153895	0.240127626759529	-0.0468962940279777	-0.0589989307664182
ENSDARG00000079313	0	0	4088.14031112039	2.45071470568192	4088.14031112039	2.06076211321531	0	0	pelp1	other	41.237576	27.811701	29.637594	35.707901	5.820261	11.39726	7.119495	14.125964	34.5246385	32.6727475	8.6087605	10.6227295	0.316682714313695	0.188435183186987	0.15133796326688	0.229644904962886	-0.0403284398087724	0.00583978124451278	-0.0361812101997335	-0.000453557080865933
ENSDARG00000079327	0	0	2301.11023569503	4.14835488596782	2301.11023569503	2.5380903609062	0	0	hmcn2	other	11.124129	14.57008	2.818953	3.575823	0.080817	0.524378	0.368934	0.958715	12.8471045	3.197388	0.3025975	0.6638245	-0.0153282640292377	0.0351979375251183	-0.0617477388300642	-0.0639990895787345	-0.077296199841095	-0.0810576077758718	-0.0710298401825851	-0.0610348649860254
ENSDARG00000079350	1156.2455621222	2.33469208694807	0	0	0	0	0	0	znf654	TF	14.180317	15.78542	1.533805	1.239661	1.569205	3.458135	4.946884	3.96505	14.9828685	1.386733	2.51367	4.455967	0.018367246414317	0.0492623299543153	-0.0719587955304572	-0.0853484695216171	-0.0677094924145588	-0.0576106667237868	-0.0473969472082093	-0.0472029927171059
ENSDARG00000079352	0	0	1038.50526559621	1.8933813658395	1038.50526559621	2.56630612457935	0	0	sap130b	Cofactor	10.456381	8.899213	4.642526	5.716846	1.914244	2.438116	1.439981	1.360158	9.677797	5.179686	2.17618	1.4000695	-0.0226904124663308	-0.0304275655454488	-0.0472586626300423	-0.044433017750903	-0.0654870961417155	-0.0657627820370205	-0.0655007411051539	-0.0591878624732476
